stfips,stabbr,stname,total_2018,hispanic_2018,nhwhite_2018,nhblack_2018,nhasian_2018,totalDeathBy_20200609,totalDeathBy_20200623,totalDeathBy_20200707,totalDeathBy_20200721,totalDeathBy_20200804,totalDeathBy_20200818,totalDeathBy_20200901,totalDeathBy_20200915,totalDeathBy_20200929,totalDeathBy_20201013,totalDeathBy_20201027,totalDeathBy_20201110,totalDeathBy_20201124,totalDeathBy_20201208,totalDeathBy_20201222,totalDeathBy_20210105,totalDeathBy_20210119,totalDeathBy_20210202,totalDeathBy_20210216,totalDeathBy_20210302,White_20200609,White_20200623,White_20200707,White_20200721,White_20200804,White_20200818,White_20200901,White_20200915,White_20200929,White_20201013,White_20201027,White_20201110,White_20201124,White_20201208,White_20201222,White_20210105,White_20210119,White_20210202,White_20210216,White_20210302,Black_20200609,Black_20200623,Black_20200707,Black_20200721,Black_20200804,Black_20200818,Black_20200901,Black_20200915,Black_20200929,Black_20201013,Black_20201027,Black_20201110,Black_20201124,Black_20201208,Black_20201222,Black_20210105,Black_20210119,Black_20210202,Black_20210216,Black_20210302,Latino_20200609,Latino_20200623,Latino_20200707,Latino_20200721,Latino_20200804,Latino_20200818,Latino_20200901,Latino_20200915,Latino_20200929,Latino_20201013,Latino_20201027,Latino_20201110,Latino_20201124,Latino_20201208,Latino_20201222,Latino_20210105,Latino_20210119,Latino_20210202,Latino_20210216,Latino_20210302,Asian_20200609,Asian_20200623,Asian_20200707,Asian_20200721,Asian_20200804,Asian_20200818,Asian_20200901,Asian_20200915,Asian_20200929,Asian_20201013,Asian_20201027,Asian_20201110,Asian_20201124,Asian_20201208,Asian_20201222,Asian_20210105,Asian_20210119,Asian_20210202,Asian_20210216,Asian_20210302
34.0,NJ,New Jersey,8908520.0,1839359.0,4892895.0,1150141.0,873183.0,10955,10955,10955,10955,10955,15591,15661,15730,15806,15878,15995,16120,15725,15052,16847,18637,19773,20906,20801,20694,5835,5835,5835,5835,5835,8474,8514,8554,8603,8651,8714,8777,8556,8228,9249,10269,10963,11657,11581,11505,2029,2029,2029,2029,2029,2821,2831,2841,2848,2855,2871,2886,2804,2686,2935,3183,3313,3442,3432,3422,2125,2125,2125,2125,2125,3140,3155,3169,3181,3192,3216,3240,3167,3155,3423,3690,3837,3984,3940,3896,597,597,597,597,597,868,869,870,873,875,882,888,855,917,956,994,1036,1077,1063,1049
35.0,NM,New Mexico,2095428.0,1029233.0,777525.0,38590.0,32311.0,404,476,519,588,658,723,777,830,874,915,1016,1114,1420,1722,2132,2540,2903,3264,3487,3708,100,113,123,136,154,171,185,198,211,223,251,279,370,460,615,770,867,964,1031,1097,3,3,3,4,6,6,8,10,10,10,13,15,20,24,30,36,41,45,47,49,59,72,79,98,124,148,171,194,214,233,281,328,474,619,782,945,1111,1277,1374,1471,1,1,1,2,2,2,2,2,3,4,6,7,10,12,16,19,23,26,27,27
36.0,NY,New York,19542209.0,3754130.0,10830524.0,2833908.0,1710183.0,27846,28491,29457,29719,29897,30003,30102,30197,32865,35552,35773,35989,36441,36893,38176,39455,41677,43895,47308,50719,9102,9339,9675,9687,9844,9890,9931,9971,11761,13550,13687,13823,14151,14479,15375,16271,17660,19049,21331,23613,7251,7431,7704,7604,7803,7832,7854,7875,8251,8626,8641,8656,8696,8736,8864,8991,9247,9503,9933,10363,7399,7588,7842,7659,7968,7999,8023,8046,8527,9008,9038,9067,9123,9179,9350,9520,9817,10113,10590,11067,1974,2020,2094,2079,2106,2113,2121,2128,2224,2320,2323,2325,2341,2357,2425,2492,2646,2799,2992,3185
37.0,NC,North Carolina,10383620.0,997349.0,6525505.0,2219512.0,317710.0,1069,1303,1499,1772,2131,2502,2869,3233,3587,3936,4372,4807,5264,5717,6409,7097,8282,9464,10405,11343,599,705,793,926,1126,1333,1550,1767,1981,2194,2474,2754,3045,3335,3807,4278,5046,5813,6408,7002,336,405,451,530,606,709,807,905,1003,1100,1194,1287,1388,1489,1613,1737,1975,2212,2413,2613,66,98,129,161,199,233,255,276,291,305,334,363,386,409,447,484,574,664,727,789,15,18,21,25,29,31,36,40,44,48,50,52,60,67,75,82,90,97,108,119
38.0,ND,North Dakota,760077.0,29529.0,638189.0,24620.0,13079.0,13,38,39,48,79,101,128,155,191,226,342,468,590,710,904,1106,1266,1425,1507,1587,13,38,39,48,79,101,117,133,166,198,303,407,521,634,810,985,1123,1260,1330,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,0,0,0,0,0,0,0,0,0,0,0,11,13,15,19,23,24,25,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.0,OH,Ohio,11689442.0,460877.0,9195982.0,1474401.0,283111.0,2455,2778,2999,3239,3627,3871,4185,4496,4706,4914,5221,5524,6233,6938,7907,8873,9848,10819,13928,17034,1910,2134,2286,2442,2760,2975,3234,3492,3650,3807,4057,4306,4916,5525,6361,7197,8005,8813,11594,14375,437,506,566,625,676,735,782,829,835,841,879,916,970,1024,1092,1159,1255,1351,1710,2068,44,58,62,71,83,89,94,98,102,106,112,118,130,141,156,170,191,211,250,289,23,29,31,36,39,42,44,46,49,52,52,51,54,56,60,64,68,71,103,134
40.0,OK,Oklahoma,3943079.0,429078.0,2576177.0,292842.0,89289.0,368,363,396,447,567,693,807,918,1014,1108,1281,1450,1803,2170,2480,2789,3522,4251,5512,6768,274,283,304,339,415,496,579,661,731,801,901,1000,1282,1564,1802,2040,2587,3133,4075,5016,27,28,29,30,34,42,49,56,64,72,85,98,116,133,150,167,214,261,335,408,33,12,14,19,31,51,57,63,66,68,88,107,126,145,160,175,216,256,331,406,2,5,8,11,14,16,19,21,23,25,25,24,28,32,35,38,47,56,71,85
41.0,OR,Oregon,4190713.0,556396.0,3155276.0,82107.0,196426.0,177,201,231,282,337,385,446,503,560,614,684,751,912,1069,1255,1438,1649,1854,1970,2082,127,140,162,196,226,257,296,335,372,409,453,497,608,718,859,1000,1155,1309,1399,1489,6,6,6,6,9,9,11,12,13,13,17,20,24,27,32,37,40,42,44,45,18,22,26,34,41,47,57,67,73,79,87,94,112,130,143,155,173,190,199,207,7,8,9,12,16,18,19,19,19,19,20,21,25,29,37,45,51,56,57,57
42.0,PA,Pennsylvania,12807060.0,976143.0,9741631.0,1388544.0,463785.0,6222,6771,6966,7410,7620,7883,8093,8301,8352,8400,8714,9028,9745,10459,12320,14177,15917,17654,20705,23752,4245,4566,4693,5018,5163,5357,5511,5664,5814,5963,6231,6499,7141,7782,9417,11052,12573,14094,16740,19385,1216,1368,1426,1484,1522,1572,1603,1634,1681,1728,1757,1786,1823,1860,2001,2141,2271,2400,2648,2896,336,372,387,418,431,438,451,464,481,497,509,521,542,563,613,662,720,777,876,974,142,146,150,151,156,159,162,165,177,188,193,198,212,225,258,290,320,349,399,448
44.0,RI,Rhode Island,1057315.0,168342.0,761439.0,63323.0,36822.0,679,744,782,805,819,831,851,870,895,918,958,995,1069,1142,1325,1507,1680,1851,1974,2100,561,608,641,656,666,673,687,701,721,740,772,803,864,925,1080,1234,1389,1544,1649,1754,40,46,48,51,52,52,53,54,55,56,60,63,68,73,81,88,92,95,99,103,69,78,81,85,87,92,97,102,105,108,111,114,121,128,143,158,168,177,189,200,0,0,0,0,0,0,6,12,13,13,14,14,15,15,19,23,28,33,35,37
